category,text
entertainment,slater to star in broadway play actor christian slater is stepping into the role of tom in the broadway revival of the glass menagerie.  slater  35  is replacing actor dallas roberts in the tennessee williams drama  which opens next month. no reason was given for roberts  departure. the role will be played by understudy joey collins until slater joins the show. slater won rave reviews for his recent performance in one flew over the cuckoo s nest in london s west end.  he has also starred in a number of films  including heathers  robin hood: prince of thieves and more recently churchill: the hollywood years. preview performances of the glass menagerie will begin at new york s ethel barrymore theatre on thursday. philip rinaldi  a spokesman for the show  said the play s 15 march opening date remains unchanged. the revival  directed by david leveaux  will also star jessica lange as the domineering mother  amanda wingfield.
politics,jack cunningham to stand down veteran labour mp and former cabinet minister jack cunningham has said he will stand down at the next election.  one of the few blair-era ministers to serve under jim callaghan  he was given the agriculture portfolio when labour regained power in 1997. mr cunningham went on to become tony blair s  cabinet enforcer . he has represented the constituency now known as copeland since 1970. mr blair said he was a  huge figure  in labour and a  valued  personal friend .  during labour s long period in opposition  mr cunningham held a number of shadow roles including foreign affairs  the environment and as trade spokesman. as agriculture minister he caused controversy when he decided to ban beef on the bone in the wake of fears over bse. he quit the government in 1999 and in recent years has served as the chairman of the all-party committee on lords reform and has been a loyal supporter of the government from the backbenches.
business,safety alert as gm recalls cars the world s biggest carmaker general motors (gm) is recalling nearly 200 000 vehicles in the us on safety grounds  according to federal regulators.  the national highway traffic safety administration (nhtsa) said the largest recall involves 155 465 pickups  vans and sports utility vehicles (suvs). this is because of possible malfunctions with the braking systems. the affected vehicles in the product recall are from the 2004 and 2005 model years  gm said. those vehicles with potential faults are the chevrolet avalanche  express  kodiak  silverade and suburban; the gmc savana  sierra and yukon.  the nhtsa said a pressure accumulator in the braking system could crack during normal driving and fragments could injure people if the hood was open. this could allow hydraulic fluid to leak  which could make it harder to brake or steer and could cause a crash  it warned. gm is also recalling 19 924 cadillac xlr coupes  srx suvs and pontiac grand prix sedans from the 2004 model year. this is because the accelerator pedal may not work properly in extremely cold temperatures  requiring more braking. in addition  the car giant is calling back 17 815 buick raniers  chevrolet trailblazers  gmc envoys and isuzu ascenders from the 2005 model years because the windshield is not properly fitted and could fall out in a crash. however  gm stressed that it did not know of any injuries related to the problems. news of the recall follows an announcement last month that gm expects earnings this year be lower than in 2004. the world s biggest car maker is grappling with losses in its european business  weak us sales and now a product recall. in january  gm said higher healthcare costs in north america  and lower profits at its financial services subsidiary would hurt its performance in 2005.
tech,screensaver tackles spam websites net users are getting the chance to fight back against spam websites  internet portal lycos has made a screensaver that endlessly requests data from sites that sell the goods and services mentioned in spam e-mail. lycos hopes it will make the monthly bandwidth bills of spammers soar by keeping their servers running flat out. the net firm estimates that if enough people sign up and download the tool  spammers could end up paying to send out terabytes of data.   we ve never really solved the big problem of spam which is that its so damn cheap and easy to do   said malte pollmann  spokesman for lycos europe.  in the past we have built up the spam filtering systems for our users   he said   but now we are going to go one step further.    we ve found a way to make it much higher cost for spammers by putting a load on their servers.  by getting thousands of people to download and use the screensaver  lycos hopes to get spamming websites constantly running at almost full capacity. mr pollmann said there was no intention to stop the spam websites working by subjecting them with too much data to cope with. he said the screensaver had been carefully written to ensure that the amount of traffic it generated from each user did not overload the web.  every single user will contribute three to four megabytes per day   he said   about one mp3 file.  but  he said  if enough people sign up spamming websites could be force to pay for gigabytes of traffic every single day. lycos did not want to use e-mail to fight back  said mr pollmann.  that would be fighting one bad thing with another bad thing   he said.  the sites being targeted are those mentioned in spam e-mail messages and which sell the goods and services on offer.  typically these sites are different to those that used to send out spam e-mail and they typically only get a few thousand visitors per day. the list of sites that the screensaver will target is taken from real-time blacklists generated by organisations such as spamcop. to limit the chance of mistakes being made  lycos is using people to ensure that the sites are selling spam goods. as these sites rarely use advertising to offset hosting costs  the burden of high-bandwidth bills could make spam too expensive  said mr pollmann. sites will also slow down under the weight of data requests. early results show that response times of some sites have deteriorated by up to 85%. users do not have to be registered users of lycos to download and use the screensaver. while working  the screensaver shows the websites that are being bothered with requests for data. the screensaver is due to be launched across europe on 1 december and before now has only been trialled in sweden. despite the soft launch  mr pollmann said that the screensaver had been downloaded more than 20 000 times in the last four days.  there s a huge user demand to not only filter spam day-by-day but to do something more   he said  before now users have never had the chance to be a bit more offensive.
business,profits slide at india s dr reddy profits at indian drugmaker dr reddy s fell 93% as research costs rose and sales flagged.  the firm said its profits were 40m rupees ($915 000; £486 000) for the three months to december on sales which fell 8% to 4.7bn rupees. dr reddy s has built its reputation on producing generic versions of big-name pharmaceutical products. but competition has intensified and the firm and the company is short on new product launches. the most recent was the annoucement in december 2000 that it had won exclusive marketing rights for a generic version of the famous anti-depressant prozac from its maker  eli lilly. it also lost a key court case in march 2004  banning it from selling a version of pfizer s popular hypertension drug norvasc in the us. research and development of new drugs is continuing apace  with r&d spending rising 37% to 705m rupees - a key cause of the decrease in profits alongside the fall in sales. patents on a number of well-known products are due to run out in the near future  representing an opportunity for dr reddy  whose shares are listed in new york  and other indian generics manufacturers.  sales in dr reddy s generics business fell 8.6% to 966m rupees. another staple of the the firm s business  the sale of ingredients for drugs  also performed poorly. sales were down more than 25% from the previous year to 1.4bn rupees in the face of strong competition both at home  and in the us and europe. dr reddy s indian competitors are gathering strength although they too face heavy competitive pressures.
business,us crude prices surge above $53 us crude prices have soared to fresh four-month highs above $53 in the us as refinery problems propelled petrol prices to an all-time high.  us light sweet crude futures jumped to $53.09 a barrel in new york before closing at $53.03. the gains tracked a surge in us gasoline futures to a record high of $1.4850 a gallon. the jump followed a fire at western refining company s refinery in texas  which shut down petrol production. a spokesman for the group was unable to say when the production unit would be back up and running.  this market simply wants to go up   citigroup global markets analyst kyle cooper told reuters news agency. ed silliere  analyst at energy merchant  added:  gasoline is up because of the refinery issues in texas  which means there will be a scramble for product in the (us) gulf coast.   elsewhere  a refinery in houston was closed due to mechanical problems  while on tuesday production at bp s texas city refinery was taken down for a short time. in the approach to spring  the market becomes much more sensitive to problems with petrol production as dealers anticipate rising demand for fuel ahead of the holiday season. the rise in prices came despite a us government report that showed domestic supplies of fuel oil and fuel were rising. meanwhile  oil production cartel opec s recent announcement that it was now unlikely to cut production levels has also failed to calm fears on the market. oil prices are roughly 45% higher than a year ago and have risen sharply in recent weeks due to a combination of colder weather  the declining value of the dollar and fears that opec could rein in production to head off a seasonal drop in demand. instability in iraq and underlying fears about terrorism have also played a part in the rally.
tech,ibm frees 500 software patents computer giant ibm says 500 of its software patents will be released into the open development community.  the move means developers will be able to use the technologies without paying for a licence from the company. ibm described the step as a  new era  in how it dealt with intellectual property and promised further patents would be made freely available. the patents include software for a range of practices  including text recognition and database management. traditional technology business policy is to amass patents and despite ibm s announcement the company continues to follow this route.  ibm was granted 3 248 patents in 2004  more than any other firm in the us  the new york times reports. for each of the past 12 years ibm has been granted more us patents than any other company. ibm has received 25 772 us patents in that period and reportedly has more than 40 000 current patents. in a statement  dr john e. kelly  ibm senior vice president  technology and intellectual property  said:  true innovation leadership is about more than just the numbers of patents granted. it s about innovating to benefit customers  partners and society.   our pledge today is the beginning of a new era in how ibm will manage intellectual property.  in the past  ibm has supported the non-commercial operating system linux although critics have said this was done only as an attempt to undermine microsoft.  the company said it wanted to encourage other firms to release patents into what it called a  patent commons . adam jollans  ibm s world-wide linux strategy manager  said the move was a genuine attempt to encourage innovation.  we believe that releasing these patents will result in innovation moving more quickly.  this is about encouraging collaboration and following a model much like academia.  mr jollans likened the plan for a patent commons to the way the internet was developed and said everyone could take advantage of the result of collaboration.  the internet s impact has been on everyone. the benefits are there for everyone to take advantage of.  stuart cohen  chief executive of us firm open source development labs  said the move could mean a change in the way companies deal with patents.   i think other companies will follow suit   he said. but not everyone was as supportive. florian mueller  campaign manager of a group lobbying toprevent software patents becoming legal in the european union dismissed ibm s move as insubstantial.  it s just diversionary tactics   wrote mr mueller  who leadsnosoftwarepatents.com  in a message on the group s website.  let s put this into perspective: we re talking aboutroughly one percent of ibm s worldwide patent portfolio. they filethat number of patents in about a month s time   he added. ibm will continue to hold the 500 patents but it has pledged to seek no royalties from the patents. the company said it would not place any restrictions on companies  groups or individuals who use them in open-source projects. open source software is developed by programmers who offer the source code - the origins of the program - for free and allow others to adapt or improve the software. end users have the right to modify and redistribute the software  as well as the right to package and sell the software. other areas covered by the patents released by ibm include storage management  simultaneous multiprocessing  image processing  networking and e-commerce.
sport,benitez deflects blame from dudek liverpool manager rafael benitez has refused to point the finger of blame at goalkeeper jerzy dudek after portsmouth claimed a draw at anfield.  dudek fumbled a cross before lomana lualua headed home an injury-time equaliser  levelling after steven gerrard put liverpool ahead. benitez said:  it was difficult for jerzy. it was an unlucky moment.  he was expecting a cross from matthew taylor and it ended up like a shot  so i don t blame him for what happened.  benitez admitted it was a costly loss of two points by liverpool  who followed up their derby defeat against everton with a disappointing draw. he said:  we had many opportunities but didn t score and  in the end  a 1-0 lead was not enough.  if you don t have any chances you have to think of other things  but when you are creating so many chances as we are there is nothing you can say to the players. it was a pity.  we lost two points  but we have one more point in the table. now we have another difficult game against newcastle and we have to recover quickly from that.
politics,csa  could close   says minister ministers would not rule out scrapping the child support agency if it failed to improve  work and pensions secretary alan johnson has warned.  but he said replacing the controversial csa would be  the nuclear option . a report by the commons work and pensions committee called for the agency to be wound up unless it improved its service within weeks. chairman sir archy kirkwood said:  if the agency cannot be rescued  then it must be replaced.   the committee reached its conclusions after it found that nearly 250 000 cases have yet to be processed. it warned that it could be five years before the csa was  fit for purpose   describing it as  a failing organisation  and  in crisis  with parents facing payment delays and inaccurate maintenance calculations. the report urged the csa to draw up contingency plans  including the  abandonment option   to be presented to parliament by easter  in case the cs2 computer system could not be made to work.  and responding to calls for the agency to be scrapped  mr johnson told bbc radio 4 s today programme:  i certainly wouldn t rule out the nuclear option of moving to a completely new system.  but i think the select committee would agree with me we would only do that when we were absolutely convinced that this system just isn t going to work.   the mps launched their inquiry into the csa s performance after it became clear that  despite the introduction of a simpler system of calculating maintenance payments for new cases in 2003  a backlog of claims was building up. the mps found the £456m system from american it giant eds was  nowhere near being fully functional and the number of dissatisfied  disenchanted and angry customers continues to escalate . faced with the committee s criticism  the government has suspended its plan to cut the agency s staff by 25%. the csa has been surrounded in controversy since its introduction in 1993 to assess and enforce child support payments by absent parents.  it is currently chasing outstanding payments of more than £720m  while a further £947m has been designated as  unrecoverable .  michelle  a mother of twins  said she had not received a penny of the £57 a week she should be receiving from her ex-partner and had faced an  on-going battle  with the csa. her forms have twice been lost in the post  she said.  i don t receive correspondence  i don t receive phone calls  i have to chase them all the time   she said. theresa may  tory shadow work and pensions secretary  said:  we have got to find a way that s going to ensure those payments get through to the people who are due them.  the agency s former chief executive doug smith quit last autumn claiming he was  seriously disappointed  with its performance. the committee said the national audit office should investigate why the eds system had gone so badly wrong. it blamed the agency s senior management for a  multitude of problems  within the agency  including for an apparent lack of training of frontline staff.
sport,williams battles to aussie title serena williams staged a remarkable recovery to beat lindsay davenport and win her second australian open title.  the 2003 champion claimed her seventh grand slam title  and her first since wimbledon in 2003  2-6 6-3 6-0. williams had looked close to quitting with a rib injury when she left the court for treatment after five games. she quickly dropped the first set but from 3-3 in the second found another gear as davenport s game collapsed  allowing williams to take the title. williams later explained her injury problem  saying it was the result of lunging for a ball early in the first set.  lindsay had me on the run out wide on my backhand and my back went but eventually i was able to come back  thank goodness   she said. davenport paid tribute to williams  saying:  she s had a tough couple of years and she s come back like a champion.   the 23-year-old former world number one was in desperate trouble in the early stages as the injury hampered her service action. davenport took advantage to race through the opening set and held six break points in game five of the second.  i kept thinking to myself  i m not losing this game   said williams afterwards.   i don t care if my arm falls off  i m not losing this game . and i guess that s what happened.  i didn t want to lose that particular game because it would have given her a lot of momentum  and a lot of confidence.  despite letting the break points slip away davenport looked comfortable enough at 3-3  but from 40-0 up she just folded. williams won nine consecutive points for the set and powered through the decider as a lacklustre davenport looked to have run out of energy after a gruelling two weeks.  i felt like i was playing well and in control pretty much of the match   said davenport.  then i just had that horrible lapse  i think serving up 40-0  and made a few errors and opened up the door for her and she just kept going through it.  at the end i think i was a little bit fatigued but she took advantage of it and kept going - she s a great frontrunner when she gets going.
tech,seamen sail into biometric future the luxury cruise liner crystal harmony  currently in the gulf of mexico  is the unlikely setting for tests of biometric technology.  as holidaymakers enjoy balmy breezes  their ship s crew is testing prototype versions of the world s first internationally issued biometric id cards  the seafarer s equivalent of a passport. along with the owner s picture  name and personal details  the new seafarers  identity document incorporates a barcode representing unique features of its holder s fingerprints. the cards are due to be issued in february next year  in line with the revised un convention on seafarers  identity documents of june 2003. tests currently under way in the caribbean are designed to ensure that new cards and their machine readers  produced by different companies in different countries  are working to interoperable standards. results of the current tests  which involve seafarers from a wide range of occupations and nationalities  will be published by the international labour organisation (ilo) by the end of november. crystal cruises  which operates the crystal harmony  is exploring the use of biometrics but has not yet committed to the technology.  authenti-corp  the us technology consultancy  has been working with the ilo on its technical specifications for the cards.   if you re issued a seafarer s id in your country  you want to be sure that when the ship lands in a port in  say  my country you can validate yourself using whatever equipment we have installed   authenti-corp s ceo  cynthia musselman  told the bbc s go digital programme. she said french  jordanian and nigerian nationals would be the first seafarers to get the new id cards since their countries have already ratified the convention. it aims to combat international terrorism whilst guaranteeing the welfare the one million seafarers estimated to be at sea. the convention highlights the importance of access to shore facilities and shore leave as vital elements to a sailor s wellbeing and  therefore  it says  to safer shipping and cleaner oceans.  by increasing security on the seas as well as border control and protection  the cards will hopefully reduce the number of piracy problems around the world   said ms musselman.  it should be a safer environment for seafarers to work in  and will allow people protecting their borders to have confidence that the people getting off the ship are  in fact  seafarers.
entertainment,film production  falls  40% in uk the number of british films produced in the uk fell 40% in 2004  with movies starring johnny depp and jude law among those affected  screen daily has said.  twenty-seven british films were made in the uk last year following a drop in funding  compared with 45 in 2003  according to the trade weekly. it attributed the drop to tighter tax laws and reduced funding from sources such as the national lottery. uk and us co-productions in britain fell from 102 in 2003 to 81 last year.  last year the government closed tax loopholes that many film investors had taken advantage of to fund films in the uk. several projects were shelved as they faced the implications of this clampdown  coupled with the reduction in movie funding from traditional sources including the lottery and miramax films. shooting on period drama tulip fever  which was to star jude law and keira knightley  was postponed indefinitely while shooting of the libertine starring johnny depp was moved to the isle of man.   there isn t anything coming in to replace (the funds)   said the libertine s executive producer marc samuelson.  we are in a hiatus.  films with  medium  budgets of up to £9m  a similar level to box office hits vera drake  calendar girls and enduring love  are expected to be worst hit by the tax clampdown. the strength of the pound against the dollar is expected to have resulted in a fall in the number of us films shot in the uk during 2004  screen international added. big budget co-productions  such as the harry potter series  continued to be shot in the uk  however. the uk film council said the drop was partly due to 2003 being an especially good year for british film production  when bridget jones: the edge of reason  wimbledon and thunderbirds were all filmed in the uk.   the drop was expected as there was no way 2003 s record level of production could be bettered   the council s spokesperson said.  the reduction in indigenous film production in 2004 was due to a variety of factors  including the continuing long-term trend towards co-production of films in more than one country and changes to financing arrangements.  it was  too early  to predict whether the downward trend in uk production would continue throughout 2005  the uk film council said. in september the government introduced subsidies worth up to £4m per film for medium budget films  under new treasury measures. it is also due to announce a replacement for uk film tax relief scheme section 48 in july.
sport,wales get williams fitness boost wales are hopeful that openside flanker martyn williams could be fit for saturday s rbs 6 nations championship opener against england in cardiff.  williams was expected to miss the match with a disc problem in his neck  but has been making a speedy recovery.  he will have tests in the next 48 hours and we are pretty optimistic he is getting there   wales  team physiotherapist mark davies said.  it has been frustrating but he is on the mend  he has made good progress.  last week williams  along with fellow flanker colin charvis - who is unlikely to play for at least a month while he recovers from a foot injury - was all but ruled out of the millennium stadium clash. with williams initially thought to be struggling  the signs pointed towards wales coach mike ruddock handing a first cap to former wales under-21 skipper richie pugh.  cardiff blues flanker williams  29  offers considerable experience and if he is declared fit then ruddock might be tempted to include him in the back row. charvis will be reviewed by the wales medical staff next monday  but davies admitted that there was only an  outside chance  of him being fit to face france in wales  third championship game on 26 february. wales  other injury concern is pugh s fellow neath-swansea ospreys player sonny parker  as the centre has a trapped nerve in his neck.  sonny s injury is still an issue   davies said.  it is still painful and irritable. we will run the rule of thumb over him in the next couple of days.  ruddock will name his starting line-up for the england game at 1830 gmt on tuesday evening  as wales target their first victory in cardiff over the world champions since 1993.
business,france telecom gets orange boost strong growth in subscriptions to mobile phone network orange has helped boost profits at owner france telecom.  orange added more than five million new customers in 2004  leading to a 10% increase in its revenues. increased take-up of broadband telecoms services also boosted france telecom s profits  which showed a 5.5% rise to 18.3bn euros ($23.4bn; £12.5bn). france telecom is to spend 578m euros on buying out minority shareholders in data services provider equant.  france telecom  one of the world s largest telecoms and internet service providers  saw its full-year sales rise 2.2% to 47.2bn euros in 2004.  orange enjoyed strong growth outside france and the united kingdom - its core markets - swelling its subscriber base to 5.4 million. france telecom s broadband customers also increased  rising to 5.1 million across europe by the end of the year. the firm said it had met its main strategic objectives of growing its individual businesses and further reducing its large debt. an ill-fated expansion drive in the late 1990s saw france telecom s debt soar to 72bn euros by 2002. however  this has now been reduced to 43.9bn euros.  our results for 2004 allow us to improve our financial structure while focusing on the innovation that drives our strategy   said chief executive thierry breton.  looking ahead  the company forecast like-for-like sales growth of between 3% and 5% over the next three years. france telecom is consolidating its interest in equant  which provides telecoms and data services to businesses. subject to approval by shareholders of the two firms  it will buy the shares in equant it does not already own. france telecom said it would fund the deal by selling an 8% stake in telephone directory company pagesjaunes.
business,dollar hovers around record lows the us dollar hovered close to record lows against the euro on friday as concern grows about the size of the us budget deficit.  analysts predict that the dollar will remain weak in 2005 as investors worry about the state of the us economy. the bush administration s apparent unwillingness to intervene to support the dollar has caused further concern. however  trading has been volatile over the past week because of technical and automated trading and light demand. this has amplified reactions to news  analysts said  adding that they expect markets to become less jumpy in january.  the dollar was trading at $1.3652 versus the euro on friday morning after hitting a fresh record low of $1.3667 on thursday. one dollar bought 102.55 yen.  disappointing business figures from chicago triggered the us currency s weakness on thursday. the national association of purchasing management-chicago said its manufacturing index dropped to 61.2  a bigger fall than expected.  there are no dollar buyers now  especially after the chicago data yesterday   said abn amro s paul mackel. at the same time  german chancellor gerhard schroeder and italian prime minister silvio berlusconi voiced concerns about the strength of the euro. mr berlusconi said the euro s strength was  absolutely worrying  for italian exports. mr schroeder said in a newspaper article that stability in foreign exchange markets required a correction of global economic imbalances. investors will now look towards february s meeting of finance ministers from the g7 industrialised nations in london for clues as to whether central banks will combine forces to stem the dollar s decline.
tech,europe backs digital tv lifestyle how people receive their digital entertainment in the future could change  following the launch of an ambitious european project.  in nice last week  the european commission announced its networked & electronic media (nem) initiative. its broad scope stretches from the way media is created  through each of the stages of its distribution  to its playback. the commission wants people to be able to locate the content they desire and have it delivered seamlessly  when on the move  at home or at work  no matter who supplies the devices  network  content  or content protection scheme. more than 120 experts were in nice to share the vision of interconnected future and hear pledges of support from companies such as nokia  intel  philips  alcatel  france telecom  thomson and telefonica. it might initially appear to be surprising that companies in direct competition are keen to work together. but again and again  speakers stated they could not see incompatible  stand-alone solutions working. a long-term strategy for the evolution and convergence of technologies and services would be required.  the european commission is being pragmatic in its approach. they have identified that many groups have defined the forms of digital media in the areas that nem encompasses. the nem approach is to take a serious look at what is available and what is in the pipeline  pick out the best  bring them together and identify where the gaps are. where it finds holes  it will develop standards to fill them. what is significant is that such a large and powerful organisation has stated its desire for digital formats to be open to all and work on any gadget. this is bound to please  if not surprise  many individuals and user organisations who feel that the wishes of the holder of rights to content are normally considered over and above those of the consumer. many feel that the most difficult and challenging area for the commission will be to identify a solution for different digital rights management (drm) schemes. currently drm solutions are incompatible  locking certain types of purchased content  making them unplayable on all platforms. with the potential of having a percentage of every media transaction that takes place globally  the prize for being the supplier of the world s dominant drm scheme is huge. although entertainment is an obvious first step  it will encompass the remote provisions of healthcare  energy efficiency and control of the smart home. the 10-year plan brings together the work of many currently running research projects that the ec has been funding for a number of years.  simon perry is the editor of the digital lifestyles website  which covers the impact of technology on media
entertainment,hillbillies singer scoggins dies country and western musician jerry scoggins has died in los angeles at the age of 93  his family has said.  scoggins was best remembered for singing the theme tune to popular us tv show the beverly hillbillies. the texan-born singer approached the producers of the programme with theme tune the ballad of jed clampett for the pilot which was screened in 1962. the show  which told the story of a poor man striking oil and moving to beverly hills  ran until 1971.  scoggins  daugher jane kelly misel said that her father never tired of the song and would sing it at least once a day.  he d sing it at birthdays and anniversaries and variety shows. he never stopped performing it   she said. when a film version of the beverly hillbillies was made in 1993  scoggins came out of retirement to perform the theme tune. scoggins sang the lyrics while bluegrass stars lester flatt and earl scruggs played guitar and banjo.
tech,2d metal slug offers retro fun like some drill sergeant from the past  metal slug 3 is a wake-up call to today s gamers molly-coddled with slick visuals and fancy trimmings.  with its hand-animated sprites and 2d side-scrolling  this was even considered retro when released in arcades four years ago. but a more frantic shooter you will not find at the end of your joypad this year. and yes  that includes halo 2. simply choose your grunt and wade through five 2d side-scrolling levels of the most hectic video game blasting you will ever encounter. it is also the toughest game you are likely to play  as hordes of enemies and few lives pile the pressure on.  players must battle soldiers  snowmen  zombies  giant crabs and aliens  not to mention the huge  screen-filling bosses that guard each of the five levels.  the shoot-anything-that-moves gameplay is peppered with moments of old-school genius. fans of robotic gastropods should note the title refers  instead  to the vast array of vehicles on offer in a game stuffed with bizarre hardware. tanks  jets and submarines can be commandeered  as well as cannon-toting camels  elephants and ostriches - more weaponry on offer than in an acre of iraq. doling out justice is a joy thanks to ultra responsive controls  and while this is a tough nut to crack  it is addictive enough to have you gagging for that one last go. and at a mere £20  metal slug 3 is as cheap as sliced  fried spuds  as the man says. of course  most of you will ignore this  lacking as it does the visual fireworks of modern blasters. but at a time when blockbuster titles offer only a fresh lick of paint in favour of real innovation  metal slug 3 is a fresh gasp of air from an era when the xbox was not even a twinkle in bill gates  eye.
sport,safin relieved at aussie recovery marat safin admitted he thought he was suffering another australian open final nightmare when he lost the opening set to lleyton hewitt.  the russian  who lost the 2002 and 2004 finals  fought back brilliantly to win 1-6 6-3 6-4 6-4.  i was nervous and i couldn t play tennis   said safin.  he started really well. he wasn t as nervous as i was because i was thinking of the two finals that i played and wasn t successful.  he added:  you really have to deal with the pressure because normally it never happens but when you come to the final you are so tight because you want to win.  i tried to play some tennis but i couldn t. he has huge experience  he s won two grand slam titles  he s won 24 titles  he s a great player and he deals with pressure.   from 4-1 down in the third set  safin played some of his best tennis to reel off seven games and take control of the match.  in the third set  just all of a sudden  it all turn around completely in a way i couldn t expect   said safin.  because he made a couple of mistakes  i was a little bit lucky at some point  then the confidence came back and i was back in the game.  and the russian revealed that the victory  and his semi-final win over world number one roger federer  had given him a massive boost for the future.  you get huge confidence because roger is a great player   said safin.  once i beat him  and then lleyton  it s like you get so much confidence in yourself that you really can play great.  you can win big titles and you can beat huge players in the finals and semi-finals.
business,rich grab half colombia poor fund half of the money put aside by the colombian government to help the country s poor is benefiting people who do not need it  a study has found.  a total of 24.2 trillion pesos ($10.2bn; £5.5bn) is earmarked for subsidies for the poor  the government department for planning said. but it also found 12.1 trillion pesos was going to the richest part of the population  rather than to those in need. sound distribution of the cash could cut poverty levels to 36% from 53%  the government believes.  resources are more than enough to reduce poverty and there is no need for more tax reforms but a better distribution   deputy planning director jose leibovich said.  colombia has a population of about 44 million and half lives below poverty line. however  some large properties are paying less in tax as they are situated inside poor areas  which benefit from cheaper utilities such as electricity and water  government research found. government expenditure in areas such as pensions  public services  education  property and health should be revised  mr leibovich said. he added that the government is now examining the report  but warned there would be no easy solution to the problem. with a good distribution of such subsidies and economic growth of just 2%  by 2019 poverty could fall as low as 15.3%  he said.
business,disaster claims  less than $10bn  insurers have sought to calm fears that they face huge losses after an earthquake and giant waves killed at least 38 000 people in southern asia.  munich re and swiss re  the world s two biggest reinsurers  have said exposure will be less than for other disasters. rebuilding costs are likely to be cheaper than in developed countries  and many of those affected will not have insurance  analysts said. swiss re has said total claims are likely to be less than $10bn (£5.17bn). swiss re believes that the cost would be substantial but that it is unlikely to be in double-digit billions  the financial times reported. munich re  the world s largest reinsurance company  said that its exposure is less than 100m euros (£70m; $136m).  at least 10 countries have been affected  with sri lanka  indonesia  india and thailand among the worst hit. the region s resorts and western tourists are expected to be among the main claimants.  lloyds of london told the financial times it expected its exposure to be limited to  holiday resorts  personal accident  travel insurance and marine risks . a spokeswoman for hanover re  europe s fifth-largest reinsurance firm  estimated tsunami-related damage claims would be in the low double-digit millions of euros. the company has paid out about 300 million euros (£281m; $400m) to cover damage caused recently by four major hurricanes in the us.  but insurers have not had long to assess the economic impact of the damage and reports of more casualties and destruction are still coming through.   so many things are unclear  it is just too early to tell   said serge troeber  deputy head of swiss re s natural disasters department.  you need very complicated processes to estimate damages. unlike the hurricanes  you can t just run a model.  he anticipated that his own company s total claims would be less then those from the hurricanes  which the company put at $640m. allianz  a leading german insurer  said it did not know yet what its exposure would be. however  it said the tidal waves were unlikely to have a  significant  impact on its business. zurich financial said they could not yet assess the cost of the disaster.  the impact on us insurance companies is not expected to be heavy  analysts said.  most us insurers have relatively little exposure to asia and those that do  pass on a lot of the risk to reinsurance companies or special catastrophe funds. insured damage could be a fraction of the  billions of dollars worth of destruction in sri lanka  india  thailand  indonesia  the maldive islands and malaysia   said prudential equity group insurance analyst jay gelb.  us insurers are likely to have only minimal to no exposure. it s more likely the bermuda-based reinsurance [companies] might have some exposure   said paul newsome  an insurance analyst at ag edwards & co.  many of the affected countries  such as indonesia  sri lanka or the maldives  do not usually buy insurance for these kinds of disasters  said a us-based insurance expert. early estimates from the world bank put the amount of aid needed for the worst affected countries including sri lanka  india  indonesia and thailand  at about $5bn (£2.6bn)  similar to the cash offered to central america after hurricane mitch.  mitch killed about 10 000 people and caused damage of about $10bn in 1998. but the cost of the tsunamis on the individuals involved is incalculable.  we cannot fathom the cost of these poor societies and the nameless fishermen and fishing villages ... that have just been wiped out. hundreds of thousands of livelihoods have gone   said jan egeland  head of the un office for the coordination of humanitarian affairs. tourists cutting short their holidays in affected areas may suffer a financial impact too. the association of british insurers warned that travel insurance does not normally cover cutting short a holiday. it said loss of possessions will usually be covered  but the association stressed the importance of checking the wording of travel policies.
business,us seeks new $280bn smoker ruling the us justice department is to try to overturn a court ruling that threw out its claim for $280bn (£149bn) in damages from tobacco firms.  earlier this month  a three-judge appeal court panel rejected the claim - filed in 1999 by the administration of bill clinton - in a 2-1 decision. government lawyers said they would ask the full us court of appeals for the district of columbia to hear the case. the court room battle is seen as key in government attempts to fight smoking.  it s pretty clear that they ve suffered a severe setback   said anthony sebok  a professor at brooklyn law school  adding that the appeal was what the government  would be expected to ask for .  prosecutors had argued that tobacco firms lied about the dangers of smoking  ignored research that highlighted problems  looked to increase addiction by manipulating nicotine levels and targeted the young with their adverts. among the firms accused were altria group  rj reynolds tobacco  lorillard tobacco  liggett group and brown and williamson. prosecutors went after the companies using legislation put in place to fight organised crime  and accused the firms of conspiring and running  racketeer influenced and corrupt organisations . the tobacco companies denied the charges  saying that they never illegally conspired to promote smoking and fool the public. they also said that they have met many of the government s demands laid out in a landmark $206bn settlement hammered out in 1998 with 46 states. a three-judge panel agreed with the companies  finding that the case could not be brought under federal anti-racketeering laws.  central to the government s case was a meeting in the plaza hotel  new york  on 15 december  1953. prosecutors contend that executives from the major tobacco firms met and agreed to present a unified strategy denying the harmful effects of smoking. despite denying for decades that smoking could be linked to illness  the companies have modified their stances in recent years. altria s philip morris now accepts that nicotine is harmful  and the company s main lawyer william ohlemeyer told the bbc last year that earlier statements may have been wrong but they were not dishonest. government lawyers have until 21 march to file their appeal.
